date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:54	2115/2115	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Jan%202023%2017:15:52%20GMT	https://valtracker.gg/robots.txt		(from )
18:15:54	53081/53081	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:15:53%20GMT	https://valtracker.gg/	C:/Meine%20Webseiten/dasga/valtracker.gg/index.html	(from )
18:15:54	77400/77400	---M--	200	added ('OK')	image/png	etag:W/%2212e58-1858725d4b6%22	https://valtracker.gg/img/VALTracker_Logo_default.png	C:/Meine%20Webseiten/dasga/valtracker.gg/img/VALTracker_Logo_default.png	(from https://valtracker.gg/)
18:15:55	4210/4210	---M-Z	200	added ('OK')	application/javascript	etag:%22c8a674eaaef3e3fe56f51ad07c0dcdf8%22	https://valtracker.gg/cdn-cgi/apps/head/MtOGtBSsh_JNWxQJIcp8XbreZ5Q.js	C:/Meine%20Webseiten/dasga/valtracker.gg/cdn-cgi/apps/head/MtOGtBSsh_JNWxQJIcp8XbreZ5Q.js	(from https://valtracker.gg/)
18:15:55	62689/62689	---MCZ	200	added ('OK')	text/css	etag:W/%22f549-1859bf8a3f4%22	https://valtracker.gg/_next/static/css/bca4b18e1d51d525.css	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/css/bca4b18e1d51d525.css	(from https://valtracker.gg/)
18:15:55	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-1859bf8a3f0%22	https://valtracker.gg/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://valtracker.gg/)
18:15:55	1651/1651	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673-1859bf8a3f8%22	https://valtracker.gg/_next/static/chunks/webpack-5752944655d749a0.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/webpack-5752944655d749a0.js	(from https://valtracker.gg/)
18:15:56	140930/140930	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222682-1859bf8a3f8%22	https://valtracker.gg/_next/static/chunks/framework-4556c45dd113b893.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/framework-4556c45dd113b893.js	(from https://valtracker.gg/)
18:15:56	88397/88397	---MCZ	200	added ('OK')	application/javascript	etag:W/%221594d-1859bf8a3f0%22	https://valtracker.gg/_next/static/chunks/main-e31efb609b2533d4.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/main-e31efb609b2533d4.js	(from https://valtracker.gg/)
18:15:56	136989/136989	---MCZ	200	added ('OK')	application/javascript	etag:W/%222171d-1859bf8a3f4%22	https://valtracker.gg/_next/static/chunks/pages/_app-73be23646b800f14.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/pages/_app-73be23646b800f14.js	(from https://valtracker.gg/)
18:15:56	11204/11204	---MCZ	200	added ('OK')	application/javascript	etag:W/%222bc4-1859bf8a3f8%22	https://valtracker.gg/_next/static/chunks/962-5e8a9fa48caba57e.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/962-5e8a9fa48caba57e.js	(from https://valtracker.gg/)
